D;SECTION D TEXTILESPAPER
D01G0013000000;Mixing, e.g. blending, fibres. Mixing non-fibrous materials with fibres (mixing of fibres combined with other operations, e.g. bale-breaking or fibre-opening, see the appropriate groups for such operations)..
D01G0015000000;Carding machines or accessories. Card clothing. Burr-crushing or removing arrangements associated with carding or other preliminary-treatment machines (de-burring apparatus or machines operating independently D01B)
D01G0015020000;Carding machines
D01G0015040000;with worker and stripper or like rollers operating in association with a main cylinder
D01G0015060000;Garnett machines
D01G0015080000;with flats or like members or endless card sheets operating in association with a main cylinder
D01G0015100000;with other apparatus, e.g. drafting devices, in integral or closely-associated combination (web-dividing apparatus D01G0015460000. burr-crushing or removing arrangements D01G0015940000)
D01G0015120000;Details
D01G0015140000;Constructional features of carding elements, e.g. for facilitating attachment of card clothing
D01G0015160000;Main cylinders. Breasts
D01G0015180000;Workers. Strippers. Doffers (doffers specially adapted for web dividing D01G0015540000)
D01G0015200000;Feed rollers. Takers-in
D01G0015220000;Fancies
D01G0015240000;Flats or like members
D01G0015260000;Arrangements or disposition of carding elements
D01G0015280000;Supporting arrangements for carding elements. Arrangements for adjusting relative positions of carding elements
D01G0015300000;Bends
D01G0015320000;Framework. Casings. Coverings
D01G0015340000;Grids. Dirt knives. Angle blades
D01G0015360000;Driving or speed control arrangements
D01G0015380000;for use during the grinding of card clothing
D01G0015400000;Feeding apparatus (fibre-feeding apparatus of general application to fibre-treating machines, e.g. hopper feeders, D01G0023000000)
D01G0015420000;Feeding from laps
D01G0015440000;Intermediate feeds
D01G0015460000;Doffing or like arrangements for removing fibres from carding elements. Web-dividing apparatus. Condensers (lap-forming devices D01G0025000000. fibre condensing guides D01H0005720000)
D01G0015480000;Stripping-combs
D01G0015500000;Stripping-rollers or like devices
D01G0015520000;Web-dividing arrangements
D01G0015540000;employing doffers specially adapted for web dividing
D01G0015560000;employing tapes
D01G0015580000;Sliver or like rubbing apparatus
D01G0015600000;Constructions of rubbing leathers
D01G0015620000;Slubbing-winding apparatus (winding apparatus of general application to the winding of filamentary material B65H)
D01G0015640000;Drafting or twisting apparatus associated with doffing arrangements or with web-dividing apparatus
D01G0015660000;with arrangements inserting false twist (false-twist devices D01H)
D01G0015680000;with arrangements inserting permanent twist, e.g. spinning
D01G0015700000;Arrangements for producing decorative or fancy effects in products
D01G0015720000;Arrangements for returning waste to be re-carded
D01G0015740000;Air draught arrangements (air draught arrangements for stripping or for removing dust or fly D01G0015760000)
D01G0015760000;Stripping or cleaning carding surfaces. Maintaining cleanliness of carding area
D01G0015780000;Arrangements for stripping flats
D01G0015800000;Arrangements for stripping cylinders or rollers
D01G0015820000;Arrangements for confining or removing dust, fly, or the like
D01G0015840000;Card clothing. Manufacture thereof not otherwise provided for (arrangements for driving carding-machine elements during grinding D01G0015380000. grinding card clothing B24B)
D01G0015860000;with flexible non-metallic backing
D01G0015880000;formed from metal sheets or strips
D01G0015900000;Lags, e.g. for jute cards
D01G0015920000;Attaching card clothing to carding elements
D01G0015940000;Burr-crushing or removing arrangements
D01G0015960000;Burr-crushing rollers
D01G0015980000;Morel or like apparatus
D01G0017000000;Silk-dressing machines
D01G0019000000;Combing machines
D01G0019020000;with pinned circles, e.g. Noble
D01G0019040000;with pinned cylinders, e.g. rectilinear
D01G0019060000;Details
D01G0019080000;Feeding apparatus
D01G0019100000;Construction, mounting, or operating features of combing elements
D01G0019120000;Devices for laying or holding fibres in combs, e.g. dabbing brushes
D01G0019140000;Drawing-off and delivery apparatus
D01G0019160000;Nipper mechanisms
D01G0019180000;Roller, or roller and apron, devices, e.g. operating to draw-off fibres continuously
D01G0019200000;operating to draw-off fibres intermittently
D01G0019220000;Arrangements for removing, or disposing of, noil or waste
D01G0019240000;Framework. Casings. Coverings
D01G0019260000;Driving arrangements
D01G0019280000;Air draught or like pneumatic arrangements
D01G0019300000;Heating arrangements
D01G0021000000;Combinations of machines, apparatus, or processes, e.g. for continuous processing (D01G0001060000, D01G0009120000, D01G0015460000, D01G0015940000 take precedence)..
D01G0023000000;Feeding fibres to machines. Conveying fibres between machines (D01G0021000000 takes precedence.intermediate feeds in carding machines D01G0015400000)
D01G0023020000;Hoppers. Delivery shoots
D01G0023040000;with means for regulating of feed
D01G0023060000;Arrangements in which a machine or apparatus is regulated in response to changes in the volume or weight of fibres fed, e.g. piano motions (arrangements in which draft is regulated in response to irregularities in fibre supply D01H)
D01G0023080000;Air draught or like pneumatic arrangements
D01G0025000000;Lap-forming devices not integral with machines specified above (forming mats or batts of continuous filaments for non-woven fabrics D04H)
D01G0027000000;Lap- or sliver-winding devices, e.g. for products of cotton scutchers, jute cards, or worsted gill boxes
D01G0027020000;with lap roll or the like loaded to provide firm packages
D01G0027040000;with automatic discharge of lap roll or the like
D01G0029000000;Arrangements for lubricating fibres, e.g. in gill boxes (processes involving the use of particular lubricants D06M0015000000)
D01G0031000000;Warning or safety devices, e.g. automatic fault detectors, stop motions (safety devices of general application F16P. indicating devices of general application G08B)
D01G0033000000;Hand tools for treatment of fibres
D01G0035000000;Treatment of oakum
D01G0099000000;Subject matter not provided for in other groups of this subclass
D01H;SPINNING OR TWISTING (unwinding, paying-out, forwarding, winding, or coiling filamentary material, not intimately associated with spinning or twisting, B65H. cores, formers, supports, or holders for coiled or wound material, e.g. bobbins, B65H. twisting oakum D01G0035000000. crimping or curling of fibres, filaments, or yarns D02G0001000000. making chenille D03D, D04D0003000000. testing yarns, rovings, slivers, fibres, or fibre webs G01)
D01H0001000000;Kinds or types of spinning or twisting machines. Drafting machines or arrangements. Twisting arrangements
D01H0001000000;Spinning or twisting machines in which the product is wound-up continuously (open-end spinning machines D01H0004000000)
D01H0001020000;ring type
D01H0001040000;flyer type
D01H0001060000;cap type
D01H0001080000;cup, pot, or disc type, in which annular masses of yarn are formed by centrifugal action
D01H0001100000;for imparting multiple twist, e.g. two-for-one twisting
D01H0001110000;Spinning by false-twisting
D01H0001115000;using pneumatic means
D01H0001140000;Details (drafting arrangements D01H0005000000. twisting arrangements D01H0007000000)
D01H0001160000;Framework. Casings. Coverings
D01H0001180000;Supports for supply packages
D01H0001200000;Driving or stopping arrangements (for open-end spinning machines D01H0004120000, D01H0004200000, D01H0004420000. safety devices D01H0013140000)
D01H0001220000;for rollers (regulating or varying draft D01H0005320000)
